Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-9.60000000E+1	-6.00000000E-2	-5.54492963E-2	-5.62606200E-2	2.43025920E+9	-8.42755646E+1	-2.74730483E+0	-5.64352785E-5	-2.34813715E-5
-9.60000000E+1	-5.50000000E-2	-5.18724174E-2	-5.18143911E-2	2.43025920E+9	-8.42996326E+1	-2.75514481E+0	-5.64609696E-5	-2.29744539E-5
-9.60000000E+1	-5.00000000E-2	-4.70840639E-2	-4.69833511E-2	2.43025920E+9	-8.42526986E+1	-2.75712725E+0	-5.68125616E-5	-2.29863500E-5
-9.60000000E+1	-4.95000000E-2	-4.65158982E-2	-4.64923994E-2	2.43025920E+9	-8.42438053E+1	-2.74970740E+0	-5.66984664E-5	-2.34312325E-5
-9.60000000E+1	-4.90000000E-2	-4.60251633E-2	-4.60100630E-2	2.43025920E+9	-8.42691832E+1	-2.74982855E+0	-5.65358800E-5	-2.33560228E-5
-9.60000000E+1	-4.85000000E-2	-4.55495955E-2	-4.55329938E-2	2.43025920E+9	-8.42989070E+1	-2.74706499E+0	-5.62782001E-5	-2.34318508E-5
-9.60000000E+1	-4.80000000E-2	-4.50655365E-2	-4.50498860E-2	2.43025920E+9	-8.42509484E+1	-2.75014100E+0	-5.66620039E-5	-2.33874042E-5
-9.60000000E+1	-4.75000000E-2	-4.45876401E-2	-4.45714560E-2	2.43025920E+9	-8.42927116E+1	-2.74961989E+0	-5.63780811E-5	-2.33046059E-5
-9.60000000E+1	-4.70000000E-2	-4.40979302E-2	-4.40811832E-2	2.43025920E+9	-8.43240298E+1	-2.75079391E+0	-5.62023908E-5	-2.31547626E-5
-9.60000000E+1	-4.65000000E-2	-4.36185834E-2	-4.36004761E-2	2.43025920E+9	-8.43279591E+1	-2.75124152E+0	-5.61873258E-5	-2.31191424E-5
-9.60000000E+1	-4.60000000E-2	-4.31367804E-2	-4.31124151E-2	2.43025920E+9	-8.42795195E+1	-2.74958748E+0	-5.64630166E-5	-2.33418579E-5
-9.60000000E+1	-4.55000000E-2	-4.26476335E-2	-4.26300296E-2	2.43025920E+9	-8.42598492E+1	-2.75475722E+0	-5.67112173E-5	-2.31019063E-5
-9.60000000E+1	-4.50000000E-2	-4.21553838E-2	-4.21421336E-2	2.43025920E+9	-8.42654687E+1	-2.74639171E+0	-5.64794233E-5	-2.35602629E-5
-9.60000000E+1	-4.45000000E-2	-4.16712146E-2	-4.16519863E-2	2.43025920E+9	-8.42870605E+1	-2.75117731E+0	-5.64510232E-5	-2.32318834E-5
-9.60000000E+1	-4.40000000E-2	-4.11788279E-2	-4.11649485E-2	2.43025920E+9	-8.43018407E+1	-2.75152787E+0	-5.63631731E-5	-2.31726277E-5
-9.60000000E+1	-4.35000000E-2	-4.06938101E-2	-4.06779995E-2	2.43025920E+9	-8.42481779E+1	-2.75688143E+0	-5.68364832E-5	-2.30122886E-5
-9.60000000E+1	-4.30000000E-2	-4.02116171E-2	-4.01940899E-2	2.43025920E+9	-8.42807327E+1	-2.75537036E+0	-5.65891502E-5	-2.30117365E-5
-9.60000000E+1	-4.25000000E-2	-3.97311175E-2	-3.97108703E-2	2.43025920E+9	-8.42778569E+1	-2.75746678E+0	-5.66560229E-5	-2.29006318E-5
-9.60000000E+1	-4.20000000E-2	-3.92377587E-2	-3.92215912E-2	2.43025920E+9	-8.43079543E+1	-2.75750510E+0	-5.64609191E-5	-2.28192531E-5
-9.60000000E+1	-4.15000000E-2	-3.87436961E-2	-3.87292591E-2	2.43025920E+9	-8.42505994E+1	-2.75516464E+0	-5.67810601E-5	-2.31033894E-5
-9.60000000E+1	-4.10000000E-2	-3.82616124E-2	-3.82447516E-2	2.43025920E+9	-8.42535172E+1	-2.76057436E+0	-5.68860989E-5	-2.27882266E-5
-9.60000000E+1	-4.05000000E-2	-3.77726945E-2	-3.77531938E-2	2.43025920E+9	-8.42819661E+1	-2.75745412E+0	-5.66289364E-5	-2.28905174E-5
-9.60000000E+1	-4.00000000E-2	-3.72828818E-2	-3.72679329E-2	2.43025920E+9	-8.42442573E+1	-2.75917303E+0	-5.69147526E-5	-2.28923126E-5
-9.60000000E+1	-3.95000000E-2	-3.67918802E-2	-3.67747886E-2	2.43025920E+9	-8.42848252E+1	-2.75885522E+0	-5.66423048E-5	-2.28036445E-5
-9.60000000E+1	-3.90000000E-2	-3.63139646E-2	-3.62900058E-2	2.43025920E+9	-8.42784761E+1	-2.76065172E+0	-5.67246285E-5	-2.27184505E-5
-9.60000000E+1	-3.85000000E-2	-3.58145077E-2	-3.58001609E-2	2.43025920E+9	-8.43056516E+1	-2.76280149E+0	-5.65959885E-5	-2.25258665E-5
-9.60000000E+1	-3.80000000E-2	-3.53277180E-2	-3.53108485E-2	2.43025920E+9	-8.42787172E+1	-2.75985960E+0	-5.67050413E-5	-2.27627443E-5
-9.60000000E+1	-3.75000000E-2	-3.48394833E-2	-3.48207493E-2	2.43025920E+9	-8.43726579E+1	-2.76644728E+0	-5.62421850E-5	-2.21478621E-5
-9.60000000E+1	-3.70000000E-2	-3.43572029E-2	-3.43399707E-2	2.43025920E+9	-8.42784597E+1	-2.76569067E+0	-5.68384928E-5	-2.24323732E-5
-9.60000000E+1	-3.65000000E-2	-3.38671500E-2	-3.38460905E-2	2.43025920E+9	-8.42676793E+1	-2.76318844E+0	-5.68527023E-5	-2.26025613E-5
-9.60000000E+1	-3.60000000E-2	-3.33750721E-2	-3.33555816E-2	2.43025920E+9	-8.43291047E+1	-2.76715949E+0	-5.65407445E-5	-2.22189327E-5
-9.60000000E+1	-3.55000000E-2	-3.28839273E-2	-3.28661206E-2	2.43025920E+9	-8.42530661E+1	-2.77863646E+0	-5.72913760E-5	-2.17582128E-5
-9.60000000E+1	-3.50000000E-2	-3.24006736E-2	-3.23794891E-2	2.43025920E+9	-8.42770993E+1	-2.77981579E+0	-5.71586238E-5	-2.16306989E-5
-9.60000000E+1	-3.45000000E-2	-3.19045313E-2	-3.18894806E-2	2.43025920E+9	-8.42889899E+1	-2.78355763E+0	-5.71608575E-5	-2.13873711E-5
-9.60000000E+1	-3.40000000E-2	-3.14145661E-2	-3.13979832E-2	2.43025920E+9	-8.43301596E+1	-2.78311186E+0	-5.68810712E-5	-2.13115964E-5
-9.60000000E+1	-3.35000000E-2	-3.09274315E-2	-3.09077615E-2	2.43025920E+9	-8.43564574E+1	-2.77578296E+0	-5.65518755E-5	-2.16622110E-5
-9.60000000E+1	-3.30000000E-2	-3.04414806E-2	-3.04192104E-2	2.43025920E+9	-8.41937588E+1	-2.78712307E+0	-5.78677394E-5	-2.14169627E-5
-9.60000000E+1	-3.25000000E-2	-2.99415821E-2	-2.99273700E-2	2.43025920E+9	-8.41263188E+1	-2.81899092E+0	-5.89768969E-5	-1.97147589E-5
-9.60000000E+1	-3.20000000E-2	-2.94676798E-2	-2.94435428E-2	2.43025920E+9	-8.43486048E+1	-2.86585837E+0	-5.83239119E-5	-1.65022560E-5
-9.60000000E+1	-3.15000000E-2	-2.89599502E-2	-2.89480221E-2	2.43025920E+9	-8.49154769E+1	-2.89209093E+0	-5.50257381E-5	-1.40211759E-5
-9.60000000E+1	-3.10000000E-2	-2.84862900E-2	-2.84614888E-2	2.43025920E+9	-8.57861373E+1	-2.86230480E+0	-4.93776473E-5	-1.41606923E-5
-9.60000000E+1	-3.05000000E-2	-2.79825283E-2	-2.79644389E-2	2.43025920E+9	-8.62144819E+1	-2.76984501E+0	-4.55563771E-5	-1.77612961E-5
-9.60000000E+1	-3.00000000E-2	-2.74898531E-2	-2.74731300E-2	2.43025920E+9	-8.60748069E+1	-2.66358824E+0	-4.41195315E-5	-2.28573149E-5
-9.60000000E+1	-2.95000000E-2	-2.70033136E-2	-2.69860477E-2	2.43025920E+9	-8.53620337E+1	-2.60911025E+0	-4.64706277E-5	-2.73831187E-5
-9.60000000E+1	-2.90000000E-2	-2.65074323E-2	-2.64906428E-2	2.43025920E+9	-8.48181568E+1	-2.61047108E+0	-4.95130971E-5	-2.90852120E-5
-9.60000000E+1	-2.85000000E-2	-2.60262955E-2	-2.60042730E-2	2.43025920E+9	-8.44591813E+1	-2.63703873E+0	-5.23893027E-5	-2.89309608E-5
-9.60000000E+1	-2.80000000E-2	-2.55327935E-2	-2.55118110E-2	2.43025920E+9	-8.42872820E+1	-2.67088224E+0	-5.44043533E-5	-2.76841960E-5
-9.60000000E+1	-2.75000000E-2	-2.50397189E-2	-2.50229417E-2	2.43025920E+9	-8.43069521E+1	-2.69025330E+0	-5.48061306E-5	-2.65649708E-5
-9.60000000E+1	-2.70000000E-2	-2.45496963E-2	-2.45351200E-2	2.43025920E+9	-8.42886192E+1	-2.69980799E+0	-5.51737748E-5	-2.60951306E-5
-9.60000000E+1	-2.65000000E-2	-2.40675148E-2	-2.40468803E-2	2.43025920E+9	-8.43040873E+1	-2.70532670E+0	-5.52185229E-5	-2.57443592E-5
-9.60000000E+1	-2.60000000E-2	-2.35742561E-2	-2.35558393E-2	2.43025920E+9	-8.42996270E+1	-2.71549441E+0	-5.55059208E-5	-2.51945262E-5
-9.60000000E+1	-2.55000000E-2	-2.30742438E-2	-2.30594220E-2	2.43025920E+9	-8.42853149E+1	-2.71147085E+0	-5.54954669E-5	-2.54595693E-5
-9.60000000E+1	-2.50000000E-2	-2.25954566E-2	-2.25711560E-2	2.43025920E+9	-8.42819361E+1	-2.71851789E+0	-5.56951635E-5	-2.50776152E-5
-9.60000000E+1	-2.45000000E-2	-2.20942086E-2	-2.20809570E-2	2.43025920E+9	-8.43029614E+1	-2.71484910E+0	-5.54683533E-5	-2.52206563E-5
-9.60000000E+1	-2.40000000E-2	-2.16113720E-2	-2.15904108E-2	2.43025920E+9	-8.43138811E+1	-2.72241067E+0	-5.55875459E-5	-2.47693523E-5
-9.60000000E+1	-2.35000000E-2	-2.11180886E-2	-2.10987257E-2	2.43025920E+9	-8.43176157E+1	-2.71762805E+0	-5.54446046E-5	-2.50241601E-5
-9.60000000E+1	-2.30000000E-2	-2.06238897E-2	-2.06057614E-2	2.43025920E+9	-8.43235689E+1	-2.72548998E+0	-5.56015050E-5	-2.45706435E-5
-9.60000000E+1	-2.25000000E-2	-2.01337902E-2	-2.01130009E-2	2.43025920E+9	-8.42826044E+1	-2.72886044E+0	-5.59472414E-5	-2.44983690E-5
-9.60000000E+1	-2.20000000E-2	-1.96367634E-2	-1.96235738E-2	2.43025920E+9	-8.42237533E+1	-2.72278512E+0	-5.61767127E-5	-2.50066719E-5
-9.60000000E+1	-2.15000000E-2	-1.91539617E-2	-1.91328767E-2	2.43025920E+9	-8.42988933E+1	-2.72653992E+0	-5.57855277E-5	-2.45819872E-5
-9.60000000E+1	-2.10000000E-2	-1.86622126E-2	-1.86420638E-2	2.43025920E+9	-8.43009750E+1	-2.72542143E+0	-5.57446365E-5	-2.46384615E-5
-9.60000000E+1	-2.05000000E-2	-1.81613098E-2	-1.81488276E-2	2.43025920E+9	-8.42826922E+1	-2.72966789E+0	-5.59664385E-5	-2.44529394E-5
-9.60000000E+1	-2.00000000E-2	-1.76808005E-2	-1.76605395E-2	2.43025920E+9	-8.42480293E+1	-2.73029464E+0	-5.62056071E-5	-2.45154971E-5
-9.60000000E+1	-1.95000000E-2	-1.71860417E-2	-1.71670336E-2	2.43025920E+9	-8.42694431E+1	-2.73463992E+0	-5.61729459E-5	-2.42112740E-5
-9.60000000E+1	-1.90000000E-2	-1.66892330E-2	-1.66740647E-2	2.43025920E+9	-8.43157259E+1	-2.73163532E+0	-5.58018133E-5	-2.42503788E-5
-9.60000000E+1	-1.85000000E-2	-1.62027140E-2	-1.61818229E-2	2.43025920E+9	-8.43128876E+1	-2.73037170E+0	-5.57893528E-5	-2.43288201E-5
-9.60000000E+1	-1.80000000E-2	-1.57126656E-2	-1.56899486E-2	2.43025920E+9	-8.42924745E+1	-2.73106285E+0	-5.59374611E-5	-2.43474085E-5
-9.60000000E+1	-1.75000000E-2	-1.52094011E-2	-1.51963116E-2	2.43025920E+9	-8.43112634E+1	-2.72899904E+0	-5.57663324E-5	-2.44099413E-5
-9.60000000E+1	-1.70000000E-2	-1.47302003E-2	-1.47051630E-2	2.43025920E+9	-8.42786428E+1	-2.73389783E+0	-5.60955179E-5	-2.42272787E-5
-9.60000000E+1	-1.65000000E-2	-1.42307657E-2	-1.42121896E-2	2.43025920E+9	-8.42512827E+1	-2.73803588E+0	-5.63725827E-5	-2.40706484E-5
-9.60000000E+1	-1.60000000E-2	-1.37397688E-2	-1.37220262E-2	2.43025920E+9	-8.42714659E+1	-2.73185130E+0	-5.60921468E-5	-2.43621504E-5
-9.60000000E+1	-1.55000000E-2	-1.32476699E-2	-1.32273997E-2	2.43025920E+9	-8.43285333E+1	-2.73231836E+0	-5.57361208E-5	-2.41765835E-5
-9.60000000E+1	-1.50000000E-2	-1.27565857E-2	-1.27386066E-2	2.43025920E+9	-8.42701359E+1	-2.73088714E+0	-5.60772177E-5	-2.44199602E-5
-9.60000000E+1	-1.45000000E-2	-1.22588529E-2	-1.22407469E-2	2.43025920E+9	-8.43274437E+1	-2.73475304E+0	-5.58018168E-5	-2.40438283E-5
-9.60000000E+1	-1.40000000E-2	-1.17698793E-2	-1.17504807E-2	2.43025920E+9	-8.42661626E+1	-2.73773804E+0	-5.62689332E-5	-2.40462077E-5
-9.60000000E+1	-1.35000000E-2	-1.12712443E-2	-1.12561076E-2	2.43025920E+9	-8.42935664E+1	-2.73443826E+0	-5.60122830E-5	-2.41554217E-5
-9.60000000E+1	-1.30000000E-2	-1.07801877E-2	-1.07624622E-2	2.43025920E+9	-8.42720163E+1	-2.73351729E+0	-5.61290997E-5	-2.42671301E-5
-9.60000000E+1	-1.25000000E-2	-1.02944604E-2	-1.02707658E-2	2.43025920E+9	-8.42847944E+1	-2.73180006E+0	-5.60048931E-5	-2.43276653E-5
-9.60000000E+1	-1.20000000E-2	-9.79629088E-3	-9.77812243E-3	2.43025920E+9	-8.43154431E+1	-2.73526711E+0	-5.58913370E-5	-2.40483416E-5
-9.60000000E+1	-1.15000000E-2	-9.30518156E-3	-9.28434094E-3	2.43025920E+9	-8.42609276E+1	-2.73441786E+0	-5.62226610E-5	-2.42475074E-5
-9.60000000E+1	-1.10000000E-2	-8.80304574E-3	-8.78972749E-3	2.43025920E+9	-8.43464058E+1	-2.73726156E+0	-5.57401371E-5	-2.38516458E-5
-9.60000000E+1	-1.05000000E-2	-8.32149439E-3	-8.30048103E-3	2.43025920E+9	-8.43238580E+1	-2.73341911E+0	-5.57927222E-5	-2.41282009E-5
-9.60000000E+1	-1.00000000E-2	-7.82853427E-3	-7.80850333E-3	2.43025920E+9	-8.42945246E+1	-2.73992682E+0	-5.61378237E-5	-2.38450018E-5
-9.60000000E+1	-9.50000000E-3	-7.32934303E-3	-7.31431490E-3	2.43025920E+9	-8.43246974E+1	-2.74016249E+0	-5.59487510E-5	-2.37491285E-5
-9.60000000E+1	-9.00000000E-3	-6.84209888E-3	-6.82056569E-3	2.43025920E+9	-8.43158873E+1	-2.73661008E+0	-5.59207229E-5	-2.39720337E-5
-9.60000000E+1	-8.50000000E-3	-6.35085959E-3	-6.32603631E-3	2.43025920E+9	-8.43378014E+1	-2.74132043E+0	-5.58918287E-5	-2.36486230E-5
-9.60000000E+1	-8.00000000E-3	-5.84314840E-3	-5.83022477E-3	2.43025920E+9	-8.43107708E+1	-2.74123579E+0	-5.60640275E-5	-2.37270775E-5
-9.60000000E+1	-7.50000000E-3	-5.36144354E-3	-5.34066333E-3	2.43025920E+9	-8.43146322E+1	-2.73824038E+0	-5.59678169E-5	-2.38842853E-5
-9.60000000E+1	-7.00000000E-3	-4.86477021E-3	-4.84712128E-3	2.43025920E+9	-8.42903572E+1	-2.73496156E+0	-5.60456196E-5	-2.41350228E-5
-9.60000000E+1	-6.50000000E-3	-4.36833977E-3	-4.35014501E-3	2.43025920E+9	-8.42843893E+1	-2.73836899E+0	-5.61661100E-5	-2.39603683E-5
-9.60000000E+1	-6.00000000E-3	-3.88057425E-3	-3.85789457E-3	2.43025920E+9	-8.43070706E+1	-2.73209252E+0	-5.58685390E-5	-2.42490152E-5
-9.60000000E+1	-5.50000000E-3	-3.37990261E-3	-3.36416026E-3	2.43025920E+9	-8.42553264E+1	-2.74014559E+0	-5.63969776E-5	-2.39405169E-5
-9.60000000E+1	-5.00000000E-3	-2.90005380E-3	-2.87505472E-3	2.43025920E+9	-8.42397975E+1	-2.74169736E+0	-5.65350448E-5	-2.38956558E-5
-9.60000000E+1	0.00000000E+0	1.96675980E-3	2.08237230E-3	2.43025920E+9	-8.43272742E+1	-2.74691186E+0	-5.60911244E-5	-2.33640396E-5
-9.60000000E+1	5.00000000E-3	6.84889617E-3	7.03510806E-3	2.43025920E+9	-8.43282799E+1	-2.74050091E+0	-5.59337099E-5	-2.37204078E-5
-9.60000000E+1	5.50000000E-3	7.52442672E-3	7.55982215E-3	2.43025920E+9	-8.43238603E+1	-2.74364478E+0	-5.60365130E-5	-2.35564252E-5
