Angle in °	Field in mT
-9.000000e+01	9.352257e+00
-8.800000e+01	9.350621e+00
-8.600000e+01	9.836119e+00
-8.400000e+01	9.830648e+00
-8.200000e+01	1.032938e+01
-8.000000e+01	1.082819e+01
-7.800000e+01	1.097808e+01
-7.600000e+01	1.147367e+01
-7.400000e+01	1.196640e+01
-7.200000e+01	1.296276e+01
-7.000000e+01	1.345057e+01
-6.800000e+01	1.443651e+01
-6.600000e+01	1.493032e+01
-6.400000e+01	1.591371e+01
-6.200000e+01	1.690282e+01
-6.000000e+01	1.739592e+01
-5.800000e+01	1.838521e+01
-5.600000e+01	1.936635e+01
-5.400000e+01	2.034848e+01
-5.200000e+01	2.133179e+01
-5.000000e+01	2.232350e+01
-4.800000e+01	2.330094e+01
-4.600000e+01	2.428259e+01
-4.400000e+01	2.526561e+01
-4.200000e+01	2.574977e+01
-4.000000e+01	2.673224e+01
-3.800000e+01	2.771552e+01
-3.600000e+01	2.869689e+01
-3.400000e+01	2.968066e+01
-3.200000e+01	3.065062e+01
-3.000000e+01	3.162852e+01
-2.800000e+01	3.212098e+01
-2.600000e+01	3.309318e+01
-2.400000e+01	3.407865e+01
-2.200000e+01	3.456591e+01
-2.000000e+01	3.504766e+01
-1.800000e+01	3.553603e+01
-1.600000e+01	3.651457e+01
-1.400000e+01	3.700397e+01
-1.200000e+01	3.750002e+01
-1.000000e+01	3.799061e+01
-8.000000e+00	3.799109e+01
-6.000000e+00	3.799069e+01
-4.000000e+00	3.849232e+01
-2.000000e+00	3.849696e+01
0.000000e+00	3.853817e+01
2.000000e+00	3.805010e+01
4.000000e+00	3.805152e+01
6.000000e+00	3.805936e+01
8.000000e+00	3.756828e+01
1.000000e+01	3.707564e+01
1.200000e+01	3.658564e+01
1.400000e+01	3.608921e+01
1.600000e+01	3.559953e+01
1.800000e+01	3.461435e+01
2.000000e+01	3.412057e+01
2.200000e+01	3.314141e+01
2.400000e+01	3.264705e+01
2.600000e+01	3.165542e+01
2.800000e+01	3.065719e+01
3.000000e+01	2.966480e+01
3.200000e+01	2.867393e+01
3.400000e+01	2.818077e+01
3.600000e+01	2.719130e+01
3.800000e+01	2.619206e+01
4.000000e+01	2.520046e+01
4.200000e+01	2.423782e+01
4.400000e+01	2.324957e+01
4.600000e+01	2.227930e+01
4.800000e+01	2.129942e+01
5.000000e+01	2.030970e+01
5.200000e+01	1.933557e+01
5.400000e+01	1.835253e+01
5.600000e+01	1.736748e+01
5.800000e+01	1.638534e+01
6.000000e+01	1.540154e+01
6.200000e+01	1.491001e+01
6.400000e+01	1.392407e+01
6.600000e+01	1.342901e+01
6.800000e+01	1.244331e+01
7.000000e+01	1.195481e+01
7.200000e+01	1.146034e+01
7.400000e+01	1.132775e+01
7.600000e+01	1.083649e+01
7.800000e+01	1.033462e+01
8.000000e+01	9.840704e+00
8.200000e+01	9.834458e+00
8.400000e+01	9.350519e+00
8.600000e+01	9.346900e+00
8.800000e+01	9.350619e+00
